helper2,Name,Team,Position,Price,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,manual_weight
Trent BurgoynePOR,Trent Burgoyne,POR,FWD,123900,0,0,0,0,0,0,0,0
Dylan WilliamsPOR,Dylan Williams,POR,FWD,123900,0,0,0,0,0,0,0,0
Noah CumberlandRIC,Noah Cumberland,RIC,FWD,123900,0,0,0,0,0,0,0,0
Hugo RalphsmithRIC,Hugo Ralphsmith,RIC,FWD,123900,0,0,0,0,0,0,0,0
Max HolmesGEE,Max Holmes,GEE,MID,121800,0,0,0,0,0,0,0,0
Max HolmesGEE,Max Holmes,GEE,FWD,121800,0,0,0,0,0,0,0,0
Brayden CookADE,Brayden Cook,ADE,FWD,117300,0,0,0,0,0,0,0,0
Caleb PoulterCOL,Caleb Poulter,COL,FWD,117300,0,0,0,0,0,0,0,0
Tyler BrockmanHAW,Tyler Brockman,HAW,FWD,117300,0,0,0,0,0,0,0,0
Jake BoweyMEL,Jake Bowey,MEL,FWD,117300,0,0,0,0,0,0,0,0
Fraser RosmanMEL,Fraser Rosman,MEL,FWD,117300,0,0,0,0,0,0,0,0
Phoenix SpicerNME,Phoenix Spicer,NME,FWD,117300,0,0,0,0,0,0,0,0
Maurice RioliRIC,Maurice Rioli,RIC,FWD,117300,0,0,0,0,0,0,0,0
Brayden CookADE,Brayden Cook,ADE,MID,117300,0,0,0,0,0,0,0,0
Corey DurdinCAR,Corey Durdin,CAR,MID,117300,0,0,0,0,0,0,0,0
Caleb PoulterCOL,Caleb Poulter,COL,MID,117300,0,0,0,0,0,0,0,0
Tyler BrockmanHAW,Tyler Brockman,HAW,MID,117300,0,0,0,0,0,0,0,0
Jake BoweyMEL,Jake Bowey,MEL,MID,117300,0,0,0,0,0,0,0,0
Fraser RosmanMEL,Fraser Rosman,MEL,MID,117300,0,0,0,0,0,0,0,0
Phoenix SpicerNME,Phoenix Spicer,NME,MID,117300,0,0,0,0,0,0,0,0
Maurice RioliRIC,Maurice Rioli,RIC,MID,117300,0,0,0,0,0,0,0,0
Corey DurdinCAR,Corey Durdin,CAR,FWD,117200,0,0,0,0,0,0,0,0
Tariek NewchurchADE,Tariek Newchurch,ADE,FWD,102400,0,0,0,0,0,0,0,0
Jack GinnivanCOL,Jack Ginnivan,COL,FWD,102400,0,0,0,0,0,0,0,0
Hawego Paul OeaGCS,Hawego Paul Oea,GCS,MID,102400,0,0,0,0,0,0,0,0
Jack SaundersHAW,Jack Saunders,HAW,FWD,102400,0,0,0,0,0,0,0,0
Tariek NewchurchADE,Tariek Newchurch,ADE,MID,102400,0,0,0,0,0,0,0,0
Jack GinnivanCOL,Jack Ginnivan,COL,MID,102400,0,0,0,0,0,0,0,0
Hawego Paul OeaGCS,Hawego Paul Oea,GCS,FWD,102400,0,0,0,0,0,0,0,0
Jack SaundersHAW,Jack Saunders,HAW,MID,102400,0,0,0,0,0,0,0,0
Max GawnMEL,Max Gawn,MEL,RUC,751400,14,139.9,139.86,5.35,82.35,134.33,0.86,0
Brodie GrundyCOL,Brodie Grundy,COL,RUC,648200,17,120.6,132.5,4.55,100,106,0.84,0
Todd GoldsteinNME,Todd Goldstein,NME,RUC,601700,17,112,127.88,4.98,100,84,0.71,0
Nic NaitanuiWCE,Nic Naitanui,WCE,RUC,593700,16,110.5,115.04,3.94,94.12,112.2,0.59,0
Reilly O'BrienADE,Reilly O'Brien,ADE,RUC,570800,17,106.2,106.24,4.83,100,111.6,0.59,0
Rhys StanleyGEE,Rhys Stanley,GEE,RUC,551900,7,102.7,98.45,4.13,41.18,102.17,0.45,0
Tim EnglishWBD,Tim English,WBD,RUC,551200,17,102.6,102.06,4.34,100,105,0.5,0
Scott LycettPOR,Scott Lycett,POR,RUC,520700,13,96.9,101.39,3.56,76.47,89.67,0.33,0
Paddy RyderSTK,Paddy Ryder,STK,RUC,505900,13,94.2,94.2,0,0.7647058823529411,94.2,0,0
Jarrod WittsGCS,Jarrod Witts,GCS,RUC,501600,17,93.4,98.62,3.52,100,85.6,0.29,0
Oscar McInerneyBRI,Oscar McInerney,BRI,RUC,443400,17,82.5,83.21,3.13,100,82.71,0.26,0
Toby NankervisRIC,Toby Nankervis,RIC,RUC,442900,7,82.4,97.24,3.95,41.18,102.4,0.36,0
Marc PittonetCAR,Marc Pittonet,CAR,RUC,421500,13,78.5,78.46,2.98,76.47,88.5,0.15,0
Shane MumfordGWS,Shane Mumford,GWS,RUC,420700,10,78.3,108.84,2.68,58.82,83.67,0.2,0
Sean DarcyFRE,Sean Darcy,FRE,RUC,420100,15,78.2,78.75,2.98,88.24,89.4,0.2,0
Callum SinclairSYD,Callum Sinclair,SYD,RUC,414100,13,77.1,93.88,3.13,76.47,62.5,0.15,0
Ivan SoldoRIC,Ivan Soldo,RIC,RUC,403000,14,75,80,2.66,82.35,63.25,0.29,0
Darcy FortGEE,Darcy Fort,GEE,RUC,390700,5,80.8,80.2,2.96,29.41,80.8,0.2,0
Jonathon CeglarHAW,Jonathon Ceglar,HAW,RUC,388100,13,72.2,76.8,3.35,76.47,56.33,0.15,0
Sam DraperESS,Sam Draper,ESS,RUC,378100,8,70.4,70.38,2.73,47.06,57.75,0.12,0
Sam NaismithSYD,Sam Naismith,SYD,RUC,376100,2,100,100,3.24,11.76,100,0,0
Andrew PhillipsESS,Andrew Phillips,ESS,RUC,353000,5,73,73,2.31,29.41,73,0.4,0
Tom De KoningCAR,Tom De Koning,CAR,RUC,305500,7,56.9,56.86,2.74,41.18,62.5,0.14,0
Braydon PreussGWS,Braydon Preuss,GWS,RUC,303000,3,62.7,67.43,2.59,17.65,62.7,0,0
Stefan MartinWBD,Stefan Martin,WBD,RUC,272200,6,50.7,111.67,2.59,35.29,50.7,0,0
Tom HickeySYD,Tom Hickey,SYD,RUC,261100,3,54,54,0,0.17647058823529413,54,0,0
Nathan VardyWCE,Nathan Vardy,WCE,RUC,228600,0,0,67.27,0,0,0,0,0
Archie SmithBRI,Archie Smith,BRI,RUC,217100,5,40.4,79.33,1.93,29.41,40.4,0,0
Zac SmithGCS,Zac Smith,GCS,RUC,216000,0,0,78.82,0,0,0,0,0
Nick BryanESS,Nick Bryan,ESS,RUC,123900,0,0,0,0,0,0,0,0
Lloyd MeekFRE,Lloyd Meek,FRE,RUC,123900,0,0,0,0,0,0,0,0
Matt ConroyGCS,Matt Conroy,GCS,RUC,123900,0,0,0,0,0,0,0,0
Matt FlynnGWS,Matt Flynn,GWS,RUC,123900,0,0,0,0,0,0,0,0
Ned ReevesHAW,Ned Reeves,HAW,RUC,123900,0,0,0,0,0,0,0,0
Austin BradtkeMEL,Austin Bradtke,MEL,RUC,123900,0,0,0,0,0,0,0,0
Sam HayesPOR,Sam Hayes,POR,RUC,123900,0,0,0,0,0,0,0,0
Sam AlabakisSTK,Sam Alabakis,STK,RUC,123900,0,0,0,0,0,0,0,0
Callum JamiesonWCE,Callum Jamieson,WCE,RUC,123900,0,0,0,0,0,0,0,0
Jordon SweetWBD,Jordon Sweet,WBD,RUC,123900,0,0,0,0,0,0,0,0
Henry SmithBRI,Henry Smith,BRI,RUC,117300,0,0,0,0,0,0,0,0
Samson RyanRIC,Samson Ryan,RIC,RUC,117300,0,0,0,0,0,0,0,0
Paul TsapatolisGEE,Paul Tsapatolis,GEE,RUC,102400,0,0,0,0,0,0,0,0
Mate ColinaRIC,Mate Colina,RIC,RUC,102400,0,0,0,0,0,0,0,0
Rowan MarshallSTK,Rowan Marshall,STK,RUC,557200,17,103.7,108.64,4.79,100,102.86,0.47,0
Rowan MarshallSTK,Rowan Marshall,STK,FWD,557200,17,103.7,108.64,4.79,100,102.86,0.47,0
Peter LadhamsPOR,Peter Ladhams,POR,RUC,460000,8,85.6,81.9,4.28,47.06,53.33,0.3,0
Peter LadhamsPOR,Peter Ladhams,POR,FWD,460000,8,85.6,81.9,4.28,47.06,53.33,0.3,0
Rory LobbFRE,Rory Lobb,FRE,RUC,415000,17,77.2,87.07,3.39,100,76.2,0.24,0
Rory LobbFRE,Rory Lobb,FRE,FWD,415000,17,77.2,87.07,3.39,100,76.2,0.24,0
Esava RatugoleaGEE,Esava Ratugolea,GEE,RUC,369400,12,68.8,69.33,2.79,70.59,68.8,0.08,0
Esava RatugoleaGEE,Esava Ratugolea,GEE,FWD,369400,12,68.8,69.33,2.79,70.59,68.8,0.08,0
Mabior CholRIC,Mabior Chol,RIC,RUC,327200,10,60.9,60.09,2.07,58.82,47.67,0,0
Mabior CholRIC,Mabior Chol,RIC,FWD,327200,10,60.9,60.09,2.07,58.82,47.67,0,0
Josh JenkinsGEE,Josh Jenkins,GEE,RUC,323400,1,86,86,4.51,5.88,86,0,0
Josh JenkinsGEE,Josh Jenkins,GEE,FWD,323400,1,86,86,4.51,5.88,86,0,0
Keegan BrooksbyHAW,Keegan Brooksby,HAW,RUC,206900,1,55,55,1.59,5.88,55,0,0
Keegan BrooksbyHAW,Keegan Brooksby,HAW,FWD,206900,1,55,55,1.59,5.88,55,0,0
Riley ThilthorpeADE,Riley Thilthorpe,ADE,RUC,202800,0,0,0,0,0,0,0,0
Riley ThilthorpeADE,Riley Thilthorpe,ADE,FWD,202800,0,0,0,0,0,0,0,0
Joel AmarteySYD,Joel Amartey,SYD,RUC,195600,1,52,52,1.02,5.88,52,0,0
Joel AmarteySYD,Joel Amartey,SYD,FWD,195600,1,52,52,1.02,5.88,52,0,0
Bailey J. WilliamsWCE,Bailey J. Williams,WCE,RUC,193400,3,45,45,0,0.17647058823529413,45,0,0
Bailey J. WilliamsWCE,Bailey J. Williams,WCE,FWD,193400,3,45,45,0,0.17647058823529413,45,0,0
Callum Coleman-JonesRIC,Callum Coleman-Jones,RIC,RUC,161200,0,0,60,0,0,0,0,0
Callum Coleman-JonesRIC,Callum Coleman-Jones,RIC,FWD,161200,0,0,60,0,0,0,0,0
Tom CampbellNME,Tom Campbell,NME,RUC,154700,1,36,44,1.67,5.88,36,0,0
Tom CampbellNME,Tom Campbell,NME,FWD,154700,1,36,44,1.67,5.88,36,0,0
Kieran StrachanADE,Kieran Strachan,ADE,RUC,146700,1,39,39,1.42,5.88,39,0,0
Kieran StrachanADE,Kieran Strachan,ADE,FWD,146700,1,39,39,1.42,5.88,39,0,0
Tom FullartonBRI,Tom Fullarton,BRI,RUC,128900,2,30,30,1.61,11.76,30,0,0
Tom FullartonBRI,Tom Fullarton,BRI,FWD,128900,2,30,30,1.61,11.76,30,0,0
Max LynchCOL,Max Lynch,COL,RUC,123900,1,22,22,0.64,5.88,22,0,0
Charlie CombenNME,Charlie Comben,NME,RUC,123900,0,0,0,0,0,0,0,0
Max LynchCOL,Max Lynch,COL,FWD,123900,1,22,22,0.64,5.88,22,0,0
Charlie CombenNME,Charlie Comben,NME,FWD,123900,0,0,0,0,0,0,0,0
Shannon NealeGEE,Shannon Neale,GEE,RUC,117300,0,0,0,0,0,0,0,0
Shannon NealeGEE,Shannon Neale,GEE,FWD,117300,0,0,0,0,0,0,0,0
Josh TreacyFRE,Josh Treacy,FRE,RUC,102400,0,0,0,0,0,0,0,0
Josh TreacyFRE,Josh Treacy,FRE,FWD,102400,0,0,0,0,0,0,0,0
